epoch,d_a,g_a,cycle_a,idt_a,d_b,g_b,cycle_b,idt_b
6.5919989999999995,0.107,0.661,0.947,0.090,0.165,0.339,1.096,0.081
6.6319989999999995,0.125,0.340,0.791,0.089,0.177,0.236,1.022,0.071
6.671999,0.094,0.664,0.810,0.089,0.102,0.444,1.102,0.074
6.711999,0.135,0.374,0.895,0.090,0.192,0.706,1.044,0.100
6.751999,0.141,1.090,1.024,0.086,0.047,0.286,0.959,0.104
6.791999,0.147,0.345,1.465,0.093,0.111,0.125,0.970,0.093
6.831999,0.087,0.583,1.049,0.101,0.124,0.384,1.128,0.097
6.871999,0.060,0.634,0.819,0.094,0.184,0.290,1.077,0.061
6.911999,0.163,0.639,0.797,0.099,0.107,0.365,1.066,0.087
6.951999,0.263,1.324,0.997,0.086,0.262,0.140,0.929,0.099
6.991999,0.048,0.599,0.807,0.090,0.120,0.282,1.023,0.064
7.022399,0.065,0.479,0.893,0.093,0.170,0.921,1.016,0.086
7.062399,0.309,0.335,0.888,0.080,0.170,0.151,0.927,0.065
7.102399,0.117,0.075,0.813,0.085,0.121,0.529,1.011,0.066
7.142399,0.102,0.206,0.774,0.110,0.077,0.339,1.174,0.065
7.182399,0.289,1.083,0.807,0.099,0.105,0.298,1.060,0.062
7.222399,0.070,0.453,0.841,0.094,0.345,0.123,0.998,0.072
7.262399,0.188,0.171,0.924,0.084,0.124,0.240,0.903,0.082
7.302399,0.133,0.406,0.884,0.082,0.317,0.391,0.911,0.074
7.3423989999999995,0.159,0.703,0.900,0.100,0.282,0.230,1.096,0.085
7.3823989999999995,0.068,0.396,0.772,0.092,0.257,0.228,1.040,0.054
7.4223989999999995,0.138,0.298,0.920,0.095,0.245,0.250,0.948,0.092
7.462399,0.100,0.292,0.823,0.091,0.261,0.231,0.920,0.066
7.502399,0.245,1.008,1.139,0.088,0.246,0.257,0.864,0.099
7.542399,0.117,0.286,0.842,0.093,0.230,0.256,0.994,0.065
7.582399,0.088,0.189,0.822,0.158,0.269,0.282,0.983,0.060
