epoch,d_a,g_a,cycle_a,idt_a,d_b,g_b,cycle_b,idt_b
32.332799,0.196,0.235,0.571,0.055,0.079,0.417,0.740,0.054
32.492799000000005,0.155,0.351,0.622,0.069,0.085,0.615,0.802,0.053
32.652799,0.185,0.471,0.600,0.056,0.223,0.332,0.685,0.054
32.812799000000005,0.115,0.563,0.612,0.061,0.131,0.632,0.733,0.049
32.972799,0.157,0.309,0.603,0.074,0.087,0.395,0.803,0.046
33.121599,0.082,0.598,1.063,0.069,1.064,1.025,0.910,0.077
33.281599,0.149,0.476,0.725,0.066,0.252,0.287,0.703,0.063
33.441599000000004,0.153,0.295,0.640,0.076,0.255,0.270,0.786,0.054
33.601599,0.429,2.043,0.644,0.055,0.253,0.259,0.588,0.051
33.761599000000004,0.122,0.379,0.554,0.068,0.255,0.256,0.683,0.045
33.921599,0.155,0.271,0.621,0.054,0.250,0.287,0.541,0.055
34.070399,0.192,0.204,0.552,0.068,0.246,0.280,0.636,0.047
34.230399000000006,0.163,0.769,0.662,0.067,0.248,0.269,0.684,0.048
34.390399,0.169,0.452,0.551,0.068,0.239,0.260,0.632,0.042
34.550399000000006,0.143,0.239,0.639,0.062,0.243,0.327,0.625,0.053
34.710399,0.180,0.226,0.658,0.058,0.248,0.276,0.625,0.059
34.870399,0.131,0.466,0.667,0.088,0.238,0.264,0.836,0.050
35.019199,0.114,0.539,0.588,0.057,0.247,0.275,0.543,0.044
35.179199000000004,0.138,0.472,0.650,0.053,0.243,0.272,0.545,0.045
35.339199,0.106,0.624,0.596,0.058,0.236,0.286,0.578,0.046
35.499199000000004,0.259,0.890,0.611,0.064,0.238,0.291,0.639,0.044
35.659199,0.115,0.411,0.575,0.057,0.234,0.256,0.572,0.045
35.819199000000005,0.069,0.722,0.601,0.060,0.244,0.314,0.639,0.048
35.979199,0.105,0.656,0.935,0.073,0.238,0.288,0.644,0.068
36.127999,0.092,0.519,0.656,0.060,0.231,0.268,0.577,0.044
36.287999,0.292,0.206,0.638,0.059,0.236,0.310,0.632,0.049
36.447999,0.335,0.143,0.603,0.052,0.267,0.270,0.529,0.045
36.607999,0.177,0.811,0.663,0.070,0.237,0.294,0.608,0.051
36.767999,0.112,0.394,0.657,0.059,0.239,0.299,0.562,0.051
36.927999,0.190,0.705,0.706,0.061,0.236,0.265,0.637,0.058
37.076799,0.106,0.613,0.648,0.063,0.229,0.325,0.626,0.048
37.236799000000005,0.116,0.582,0.635,0.070,0.241,0.255,0.760,0.049
37.396799,0.130,0.261,0.708,0.057,0.231,0.302,0.621,0.046
37.556799000000005,0.261,1.053,0.661,0.055,0.230,0.289,0.586,0.050
37.716799,0.120,0.905,0.631,0.053,0.246,0.359,0.587,0.045
37.876799000000005,0.135,0.244,0.609,0.056,0.212,0.347,0.554,0.042
38.025599,0.255,1.084,0.722,0.060,0.228,0.300,0.605,0.055
38.185599,0.114,0.608,0.737,0.069,0.234,0.431,0.676,0.057
38.345599,0.147,0.174,0.700,0.063,0.203,0.335,0.679,0.046
38.505599000000004,0.062,0.666,0.606,0.056,0.219,0.320,0.577,0.051
38.665599,0.071,0.455,0.680,0.054,0.220,0.243,0.560,0.045
38.825599000000004,0.116,0.408,0.744,0.066,0.194,0.444,0.729,0.061
38.985599,0.109,0.361,0.650,0.059,0.191,0.382,0.622,0.046
39.134399,0.405,0.757,0.653,0.055,0.166,0.317,0.616,0.048
39.294399000000006,0.157,0.272,0.654,0.051,0.225,0.279,0.574,0.048
39.454399,0.108,0.181,0.661,0.062,0.169,0.246,0.688,0.047
39.614399000000006,0.108,0.503,0.653,0.058,0.211,0.404,0.671,0.048
39.774399,0.112,0.362,0.811,0.066,0.178,0.490,0.732,0.062
39.934399,0.104,0.271,0.638,0.060,0.265,0.369,0.637,0.048
40.083199,0.114,0.427,0.639,0.069,0.316,0.092,0.753,0.043
40.243199000000004,0.182,0.188,0.664,0.057,0.173,0.627,0.660,0.048
40.403199,0.130,0.334,0.615,0.065,0.116,0.352,0.747,0.045
40.563199000000004,0.112,0.539,0.690,0.061,0.147,0.382,0.675,0.047
40.723199,0.070,0.489,0.678,0.061,0.187,0.127,0.764,0.047
40.883199000000005,0.116,0.384,0.627,0.067,0.171,0.776,0.750,0.051
41.031999,0.084,0.391,0.688,0.068,0.163,0.197,0.779,0.050
41.191999,0.186,1.124,0.727,0.051,0.155,0.207,0.671,0.062
41.351999,0.206,0.275,0.671,0.060,0.161,0.502,0.697,0.054
41.511999,0.101,0.669,0.842,0.056,0.245,0.302,0.627,0.072
41.671999,0.105,0.392,0.690,0.062,0.242,0.251,0.661,0.046
41.831999,0.076,0.460,0.649,0.055,0.195,0.322,0.703,0.052
41.991999,0.120,0.826,0.614,0.062,0.168,0.455,0.693,0.046
42.140799,0.562,0.127,0.660,0.057,0.157,0.481,0.750,0.053
42.300799000000005,0.195,0.277,0.620,0.059,0.128,0.566,0.690,0.053
