epoch,d_a,g_a,cycle_a,idt_a,d_b,g_b,cycle_b,idt_b
288,0.005,0.899,0.648,0.055,0.018,0.803,0.655,0.046
288,0.010,0.783,0.661,0.061,0.013,1.026,0.724,0.047
288,0.016,0.933,0.772,0.063,0.022,0.838,0.730,0.060
288,0.010,0.988,0.662,0.057,0.030,0.736,0.690,0.053
288,0.005,1.116,0.776,0.054,0.033,0.685,0.710,0.050
288,0.015,1.223,0.719,0.056,0.029,0.808,0.647,0.053
288,0.017,0.916,0.586,0.054,0.031,1.273,0.657,0.041
288,0.007,1.044,0.719,0.054,0.013,1.060,0.646,0.055
288,0.012,0.973,0.758,0.051,0.027,0.585,0.619,0.056
288,0.008,0.877,0.660,0.051,0.045,0.618,0.600,0.043
288,0.008,0.859,0.737,0.056,0.027,0.842,0.655,0.053
288,0.005,0.852,0.685,0.053,0.015,0.884,0.651,0.051
288,0.010,0.842,0.697,0.053,0.041,0.573,0.643,0.047
288,0.009,0.964,0.596,0.060,0.037,1.032,0.709,0.039
288,0.008,0.915,0.619,0.048,0.023,0.919,0.570,0.046
288,0.023,1.163,0.629,0.060,0.034,0.843,0.656,0.043
288,0.005,0.832,0.848,0.058,0.015,1.053,0.714,0.078
288,0.006,1.013,0.695,0.061,0.047,0.867,0.703,0.048
288,0.007,0.868,0.580,0.053,0.031,0.563,0.643,0.039
288,0.009,1.054,0.608,0.057,0.022,1.009,0.657,0.041
288,0.006,0.873,0.660,0.057,0.034,1.119,0.622,0.046
288,0.012,0.931,0.663,0.046,0.019,0.965,0.564,0.045
288,0.006,0.951,0.654,0.054,0.018,0.719,0.641,0.047
289,0.011,0.843,0.655,0.050,0.033,0.770,0.630,0.050
289,0.013,0.759,0.730,0.059,0.019,0.752,0.655,0.059
289,0.007,0.978,0.633,0.052,0.013,1.274,0.609,0.046
289,0.026,1.018,0.680,0.051,0.012,1.134,0.598,0.045
289,0.008,0.970,0.741,0.054,0.016,0.778,0.663,0.065
289,0.010,0.922,0.517,0.057,0.038,0.932,0.642,0.039
289,0.011,1.008,0.688,0.054,0.027,1.310,0.614,0.057
289,0.031,0.845,0.650,0.052,0.027,1.231,0.638,0.042
289,0.011,0.959,0.734,0.067,0.027,0.860,0.756,0.054
289,0.009,0.965,0.648,0.062,0.022,0.889,0.774,0.044
289,0.007,0.917,0.647,0.055,0.019,1.150,0.678,0.042
289,0.010,0.910,0.665,0.061,0.023,0.525,0.687,0.046
289,0.013,1.050,0.691,0.063,0.012,1.154,0.745,0.046
289,0.009,0.883,0.619,0.060,0.031,0.671,0.698,0.045
289,0.007,0.820,0.623,0.054,0.012,0.977,0.664,0.043
289,0.006,1.031,0.669,0.047,0.023,0.768,0.576,0.050
289,0.009,0.963,0.642,0.059,0.017,0.862,0.703,0.042
289,0.017,0.897,0.627,0.065,0.021,1.031,0.760,0.043
289,0.013,1.098,0.665,0.056,0.011,1.081,0.656,0.045
289,0.005,1.158,0.625,0.046,0.027,0.761,0.570,0.040
289,0.014,0.982,0.627,0.049,0.019,0.788,0.578,0.044
289,0.005,1.084,0.817,0.055,0.028,0.657,0.646,0.062
289,0.010,0.910,0.642,0.058,0.014,0.962,0.697,0.043
289,0.007,0.958,0.711,0.054,0.049,0.935,0.657,0.048
289,0.006,0.940,0.670,0.058,0.013,0.811,0.691,0.048
290,0.007,0.936,0.623,0.056,0.013,1.098,0.678,0.044
290,0.005,1.008,0.646,0.060,0.018,0.925,0.730,0.046
290,0.013,0.865,0.629,0.060,0.015,0.832,0.710,0.043
290,0.006,1.018,0.596,0.054,0.024,0.847,0.666,0.043
290,0.012,1.149,0.619,0.056,0.026,0.711,0.673,0.044
290,0.015,0.988,0.735,0.049,0.026,0.742,0.557,0.071
290,0.017,0.820,0.660,0.057,0.015,0.876,0.698,0.047
