epoch,d_a,g_a,cycle_a,idt_a,d_b,g_b,cycle_b,idt_b
28.217599,0.071,0.397,0.658,0.058,0.110,0.464,0.681,0.051
28.297598999999998,0.051,0.547,0.641,0.064,0.107,0.199,0.778,0.047
28.377599,0.068,0.441,0.758,0.060,0.183,0.403,0.692,0.053
28.457599,0.075,0.374,0.731,0.063,0.108,0.276,0.754,0.059
28.537599,0.090,0.912,0.843,0.067,0.110,0.409,0.819,0.068
28.617599,0.067,0.361,0.678,0.079,0.102,0.536,0.961,0.052
28.697599,0.070,0.768,0.735,0.063,0.117,0.583,0.793,0.059
28.777599,0.081,0.607,0.709,0.062,0.086,0.215,0.770,0.052
28.857599,0.152,0.499,0.795,0.066,0.216,0.955,0.773,0.071
28.937599,0.194,0.117,0.754,0.069,0.133,0.371,0.875,0.057
29.006399,0.128,0.702,0.708,0.073,0.159,0.366,0.796,0.059
29.086399,0.083,0.478,0.750,0.063,0.155,0.804,0.772,0.058
29.166399,0.045,0.729,0.714,0.074,0.158,0.111,0.858,0.051
29.246399,0.283,0.130,0.655,0.066,0.302,0.080,0.786,0.050
29.326399,0.072,0.338,0.762,0.062,0.185,0.115,0.733,0.061
29.406399,0.051,0.603,0.719,0.062,0.148,0.275,0.721,0.058
29.486399,0.069,0.353,0.693,0.062,0.140,0.325,0.715,0.050
29.566399,0.089,0.350,0.724,0.067,0.109,0.276,0.783,0.050
29.646399,0.113,0.605,0.713,0.058,0.161,0.428,0.737,0.059
29.726399,0.092,0.298,0.776,0.069,0.111,0.308,0.857,0.059
29.806399,0.174,0.195,0.690,0.101,0.120,0.458,1.026,0.058
29.886398999999997,0.068,0.904,0.783,0.066,0.530,0.471,0.751,0.062
